Area,Area Id,Variable Name,Variable Id,Year,Value,Symbol,Md
Afghanistan,2,Total population,4104,1962,9346,E,
Afghanistan,2,Total population,4104,1967,10373,E,
Afghanistan,2,Total population,4104,1972,11722,E,
Afghanistan,2,Total population,4104,1977,13068,E,
Afghanistan,2,Total population,4104,1982,12750,E,
Afghanistan,2,Total population,4104,1987,11503,E,
Afghanistan,2,Total population,4104,1992,13981,E,
Afghanistan,2,Total population,4104,1997,18382,E,
Afghanistan,2,Total population,4104,2002,21980,E,
Afghanistan,2,Total population,4104,2007,26617,E,
Afghanistan,2,Total population,4104,2012,30697,E,
Afghanistan,2,Total population,4104,2017,35530,E,
Afghanistan,2,Total renewable water resources,4188,1962,65.33,K,
Afghanistan,2,Total renewable water resources,4188,1967,65.33,K,
Afghanistan,2,Total renewable water resources,4188,1972,65.33,K,
Afghanistan,2,Total renewable water resources,4188,1977,65.33,K,
Afghanistan,2,Total renewable water resources,4188,1982,65.33,K,
Afghanistan,2,Total renewable water resources,4188,1987,65.33,K,
Afghanistan,2,Total renewable water resources,4188,1992,65.33,K,
Afghanistan,2,Total renewable water resources,4188,1997,65.33,K,
Afghanistan,2,Total renewable water resources,4188,2002,65.33,K,
Afghanistan,2,Total renewable water resources,4188,2007,65.33,K,
Afghanistan,2,Total renewable water resources,4188,2012,65.33,K,
Afghanistan,2,Total renewable water resources,4188,2017,65.33,K,
Albania,3,Total population,4104,1962,1738,E,
Albania,3,Total population,4104,1967,1999,E,
Albania,3,Total population,4104,1972,2254,E,
Albania,3,Total population,4104,1977,2518,E,
Albania,3,Total population,4104,1982,2788,E,
Albania,3,Total population,4104,1987,3121,E,
Albania,3,Total population,4104,1992,3241,E,
Albania,3,Total population,4104,1997,3093,E,
Albania,3,Total population,4104,2002,3119,E,
Albania,3,Total population,4104,2007,3024,E,
Albania,3,Total population,4104,2012,2920,E,
Albania,3,Total population,4104,2017,2930,E,
Albania,3,Total renewable water resources,4188,1962,30.2,I,
Albania,3,Total renewable water resources,4188,1967,30.2,I,
Albania,3,Total renewable water resources,4188,1972,30.2,I,
Albania,3,Total renewable water resources,4188,1977,30.2,I,
Albania,3,Total renewable water resources,4188,1982,30.2,I,
Albania,3,Total renewable water resources,4188,1987,30.2,I,
Albania,3,Total renewable water resources,4188,1992,30.2,I,
Albania,3,Total renewable water resources,4188,1997,30.2,I,
Albania,3,Total renewable water resources,4188,2002,30.2,I,
Albania,3,Total renewable water resources,4188,2007,30.2,I,
Albania,3,Total renewable water resources,4188,2012,30.2,I,
Albania,3,Total renewable water resources,4188,2017,30.2,I,
Algeria,4,Total population,4104,1962,11690,E,
Algeria,4,Total population,4104,1967,13354,E,
Algeria,4,Total population,4104,1972,15377,E,
Algeria,4,Total population,4104,1977,17690,E,
Algeria,4,Total population,4104,1982,20576,E,
Algeria,4,Total population,4104,1987,23918,E,
Algeria,4,Total population,4104,1992,27181,E,
Algeria,4,Total population,4104,1997,29887,E,
Algeria,4,Total population,4104,2002,31995,E,
Algeria,4,Total population,4104,2007,34300,E,
Algeria,4,Total population,4104,2012,37566,E,
