Area,Area Id,Variable Name,Variable Id,Year,Value,Symbol,Md
Afghanistan,2,Total population,4104,1962,9346,E,
Afghanistan,2,Total population,4104,1967,10373,E,
Afghanistan,2,Total population,4104,1972,11722,E,
Afghanistan,2,Total population,4104,1977,13068,E,
Afghanistan,2,Total population,4104,1982,12750,E,
Afghanistan,2,Total population,4104,1987,11503,E,
Afghanistan,2,Total population,4104,1992,13981,E,
Afghanistan,2,Total population,4104,1997,18382,E,
Afghanistan,2,Total population,4104,2002,21980,E,
Afghanistan,2,Total population,4104,2007,26617,E,
Afghanistan,2,Total population,4104,2012,30697,E,
Afghanistan,2,Total population,4104,2017,35530,E,
Albania,3,Total population,4104,1962,1738,E,
Albania,3,Total population,4104,1967,1999,E,
Albania,3,Total population,4104,1972,2254,E,
Albania,3,Total population,4104,1977,2518,E,
Albania,3,Total population,4104,1982,2788,E,
Albania,3,Total population,4104,1987,3121,E,
Albania,3,Total population,4104,1992,3241,E,
Albania,3,Total population,4104,1997,3093,E,
Albania,3,Total population,4104,2002,3119,E,
Albania,3,Total population,4104,2007,3024,E,
Albania,3,Total population,4104,2012,2920,E,
Albania,3,Total population,4104,2017,2930,E,
Algeria,4,Total population,4104,1962,11690,E,
Algeria,4,Total population,4104,1967,13354,E,
Algeria,4,Total population,4104,1972,15377,E,
Algeria,4,Total population,4104,1977,17690,E,
Algeria,4,Total population,4104,1982,20576,E,
Algeria,4,Total population,4104,1987,23918,E,
Algeria,4,Total population,4104,1992,27181,E,
Algeria,4,Total population,4104,1997,29887,E,
Algeria,4,Total population,4104,2002,31995,E,
Algeria,4,Total population,4104,2007,34300,E,
Algeria,4,Total population,4104,2012,37566,E,
Algeria,4,Total population,4104,2017,41318,E,
Andorra,6,Total population,4104,1962,15.37,E,
Andorra,6,Total population,4104,1967,20.76,E,
Andorra,6,Total population,4104,1972,26.89,E,
Andorra,6,Total population,4104,1977,32.77,E,
Andorra,6,Total population,4104,1982,39.11,E,
Andorra,6,Total population,4104,1987,48.46,E,
Andorra,6,Total population,4104,1992,58.89,E,
Andorra,6,Total population,4104,1997,64.33,E,
Andorra,6,Total population,4104,2002,70.05,E,
Andorra,6,Total population,4104,2007,82.68,E,
Andorra,6,Total population,4104,2012,82.43,E,
Andorra,6,Total population,4104,2017,76.96,E,
Angola,7,Total population,4104,1962,5866,E,
Angola,7,Total population,4104,1967,6415,E,
Angola,7,Total population,4104,1972,7095,E,
Angola,7,Total population,4104,1977,8131,E,
Angola,7,Total population,4104,1982,9582,E,
Angola,7,Total population,4104,1987,11218,E,
Angola,7,Total population,4104,1992,12968,E,
Angola,7,Total population,4104,1997,15089,E,
Angola,7,Total population,4104,2002,17573,E,
Angola,7,Total population,4104,2007,20998,E,
Angola,7,Total population,4104,2012,25096,E,
Angola,7,Total population,4104,2017,29784,E,
Antigua and Barbuda,8,Total population,4104,1962,57.14,E,
Antigua and Barbuda,8,Total population,4104,1967,63.36,E,
Antigua and Barbuda,8,Total population,4104,1972,69.18,E,
Antigua and Barbuda,8,Total population,4104,1977,72.88,E,
