Area,Area Id,Variable Name,Variable Id,Year,Value,Symbol,Md
Afghanistan,2,Total renewable water resources,4188,1962,65.33,K,
Afghanistan,2,Total renewable water resources,4188,1967,65.33,K,
Afghanistan,2,Total renewable water resources,4188,1972,65.33,K,
Afghanistan,2,Total renewable water resources,4188,1977,65.33,K,
Afghanistan,2,Total renewable water resources,4188,1982,65.33,K,
Afghanistan,2,Total renewable water resources,4188,1987,65.33,K,
Afghanistan,2,Total renewable water resources,4188,1992,65.33,K,
Afghanistan,2,Total renewable water resources,4188,1997,65.33,K,
Afghanistan,2,Total renewable water resources,4188,2002,65.33,K,
Afghanistan,2,Total renewable water resources,4188,2007,65.33,K,
Afghanistan,2,Total renewable water resources,4188,2012,65.33,K,
Afghanistan,2,Total renewable water resources,4188,2017,65.33,K,
Albania,3,Total renewable water resources,4188,1962,30.2,I,
Albania,3,Total renewable water resources,4188,1967,30.2,I,
Albania,3,Total renewable water resources,4188,1972,30.2,I,
Albania,3,Total renewable water resources,4188,1977,30.2,I,
Albania,3,Total renewable water resources,4188,1982,30.2,I,
Albania,3,Total renewable water resources,4188,1987,30.2,I,
Albania,3,Total renewable water resources,4188,1992,30.2,I,
Albania,3,Total renewable water resources,4188,1997,30.2,I,
Albania,3,Total renewable water resources,4188,2002,30.2,I,
Albania,3,Total renewable water resources,4188,2007,30.2,I,
Albania,3,Total renewable water resources,4188,2012,30.2,I,
Albania,3,Total renewable water resources,4188,2017,30.2,I,
Algeria,4,Total renewable water resources,4188,1962,11.67,I,
Algeria,4,Total renewable water resources,4188,1967,11.67,I,
Algeria,4,Total renewable water resources,4188,1972,11.67,I,
Algeria,4,Total renewable water resources,4188,1977,11.67,I,
Algeria,4,Total renewable water resources,4188,1982,11.67,I,
Algeria,4,Total renewable water resources,4188,1987,11.67,I,
Algeria,4,Total renewable water resources,4188,1992,11.67,I,
Algeria,4,Total renewable water resources,4188,1997,11.67,I,
